num,smiles,energy
208,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)O)O)O,20.48058
209,CCCCCCCCC=CCCCCCCCC(=O)NCCO,-4.313388
210,CC(=O)NCCC1=CNC2=CC(=C(C=C21)OC)OS(=O)(=O)O,18.3933
211,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O,-10.0555
212,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,36.8881
213,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,1.628759
214,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N,25.04552
215,CC12CCC(=O)C=C1CCC3C2C(=O)CC4(C3CCC4(C(=O)CO)O)C,4.106147
216,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,3.833933
217,C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)N=C(NC2=O)N,27.83118
219,CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C,-2.005772
220,CC(CCC(=O)O)C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C,-2.763036
222,CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C,-0.01536917
226,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C,2.425355
228,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1(CCC3C2C(C(C4C3(CCC(C4)O)C)O)O)C,5.953633
230,CN,4.192801
231,CNC,3.510348
232,CC(=O)O,3.721874
233,C(CO)N,5.395434
234,C=CC(=O)N,3.963491
235,CN=C(N)N,5.660856
236,CCC(=O)O,2.330046
237,C(CN)CN,6.491697
238,C(C(=O)O)N,6.136594
239,C(C(=O)O)O,4.340661
240,C1CCNCC1,3.066842
241,CC=CC(=O)O,1.86233
242,CCCC(=O)O,1.979559
243,CC(C)C(=O)O,0.9973815
245,C1=CC=C(C=C1)O,2.4538
246,CC(=CC(=O)O)C,-0.1422461
247,C1CCOC(=O)C1,8.38625
248,CC=C(C)C(=O)O,-0.892676
249,C1CC1(C(=O)O)N,6.787217
250,CC(=O)CC(=O)O,6.681596
251,CC(C)CC(=O)O,-0.2884283
252,C(CCN)CCN,5.020801
253,C(C(=O)O)NC=O,8.392656
254,CC(C)(C(=O)O)N,6.100923
255,CCC(C(=O)O)N,5.488806
256,CC(CN)C(=O)O,5.197329
257,C(C(=O)C(=O)O)O,7.20609
258,CCC(C(=O)O)O,4.015835
259,CC(CO)C(=O)O,3.41405
260,C(C(C(=O)O)N)N,9.564344
261,C(CO)NCCO,13.33418
262,C1=CC=C(C=C1)CN,6.771762
263,C1=CC(=CC=C1N)O,5.563411
264,C1=CC=C(C(=C1)N)O,4.743298
265,C1=COC=C1C(=O)O,5.057432
266,C1=CNC(=O)NC1=O,13.46541
267,CC=CC=CC(=O)O,0.007098863
268,C1CC(N=C1)C(=O)O,6.164785
269,CN1CC(=O)N=C1N,10.11936
270,CN1CC(=O)NC1=O,9.915693
271,C1CNC(=O)NC1=O,10.02446
272,CCC1CCC(=O)O1,-0.3630544
273,CCCCCC(=O)C,-0.3236714
274,C(=CC(=O)O)C(=O)N,7.254466
275,CC(=O)CCC(=O)O,5.594987
276,CC(C)CCC(=O)O,-0.987581
277,CCCCCC(=O)O,-1.383103
278,C1CSC(=O)C1N,3.574827
279,CC(=O)NCC(=O)O,9.074798
280,CC(C)C(C(=O)O)N,5.573995
281,CCCC(C(=O)O)N,4.647622
282,C(=O)(C(=O)O)C(=O)O,10.00916
283,CC(C(=O)O)C(=O)O,5.194848
284,CCCC(C(=O)O)O,2.691482
285,CC(C(C)O)C(=O)O,5.240862
286,CCC(CO)C(=O)O,7.610016
287,CCC(C)(C(=O)O)O,3.500328
288,CC(C)(CC(=O)O)O,6.564819
289,CC(C(C(=O)O)N)O,9.034221
290,C1CNC2=CC=CC=C21,6.97538
291,C(C(=O)C(=O)O)S,5.206889
292,C(CO)C(C(=O)O)O,8.981934
293,C=CC1=CC=C(C=C1)O,3.418758
294,C(C(C(=O)O)N)S,6.287736
295,C1=CC(=CC(=C1)O)C=O,7.34481
296,C1=CC=C(C=C1)C(=O)O,6.590582
297,C1=CC(=CN=C1)C(=O)N,11.68541
298,C(C(C(CO)O)O)O,10.60089
299,C1=CN=CC=C1C(=O)O,9.320267
300,C1=CC=NC(=C1)C(=O)O,8.392013
301,C1=CC(=CC(=C1)O)CO,8.000861
302,CC1=C(C(=CC=C1)O)O,1.948722
303,C(CP(=O)(O)O)N,6.918191
304,CN1C=NC=C1CCN,7.978512
305,CCOS(=O)(=O)O,7.35349
306,C(CS(=O)(=O)O)O,10.80049
307,CC1=C(C(=O)C=CO1)O,5.913704
308,CC1CNC(=O)NC1=O,8.370724
309,C1CCC(CC1)C(=O)O,1.37558
310,CCCCCCCC=O,-2.170523
311,C1CC(=O)NC1C(=O)O,10.43003
312,C1C(C=NC1C(=O)O)O,10.34708
313,CN1CCCC1C(=O)O,6.170331
314,CC(=CC(=O)O)C(=O)O,5.451396
315,CC(C)CC(=O)C(=O)O,0.08842401
