smiles,substructure,average_contribution
C1CCN(C1)N=O,COC(=O)C,0.0
C1CCN(C1)N=O,CN,0.6375104784965515
C1CCN(C1)N=O,CCN,0.5287508964538574
C1CCN(C1)N=O,CC(=O)N,0.0
C1CCN(C1)N=O,CC#N,0.0
C1CCN(C1)N=O,CCl,0.0
C1CCN(C1)N=O,CCBr,0.0
C1CCN(C1)N=O,c1ccccc1S(=O)(=O)O,0.0
C1CCN(C1)N=O,c1ccccc1[N+](=O)[O-],0.0
C1CCN(C1)N=O,c1ccccc1,0.0
C1CCN(C1)N=O,Cc1ccccc1,0.0
C1CCN(C1)N=O,C=CC1=CC=CC=C1,0.0
C1CCN(C1)N=O,Nc1ccccc1,0.0
C1CCN(C1)N=O,c1ccc2ccccc2c1,0.0
C1CCN(C1)N=O,Oc1ccc2ccccc2c1,0.0
C1CCN(C1)N=O,Nc1ccc2cccc(c2)c1,0.0
C1CCN(C1)N=O,n1ccccc1,0.0
C1CCN(C1)N=O,o1cccc1,0.0
C1CCN(C1)N=O,s1cccc1,0.0
C1CCN(C1)N=O,n1cccc1,0.0
CCCCC(=O)O,C,0.2169165164232254
CCCCC(=O)O,CC,0.20557858049869537
CCCCC(=O)O,C=C,0.0
CCCCC(=O)O,C#C,0.0
CCCCC(=O)O,CO,0.5622526407241821
CCCCC(=O)O,CCO,0.4874308407306671
CCCCC(=O)O,c1ccccc1O,0.0
CCCCC(=O)O,COC,0.0
CCCCC(=O)O,C=O,0.5527899265289307
CCCCC(=O)O,CC=O,0.48112237453460693
CCCCC(=O)O,CC(=O)C,0.0
CCCCC(=O)O,C(=O)O,0.5741661190986633
CCCCC(=O)O,CC(=O)O,0.5150713920593262
CCCCC(=O)O,COC(=O)C,0.0
CCCCC(=O)O,CN,0.0
CCCCC(=O)O,CCN,0.0
CCCCC(=O)O,CC(=O)N,0.0
CCCCC(=O)O,CC#N,0.0
CCCCC(=O)O,CCl,0.0
CCCCC(=O)O,CCBr,0.0
CCCCC(=O)O,c1ccccc1S(=O)(=O)O,0.0
CCCCC(=O)O,c1ccccc1[N+](=O)[O-],0.0
CCCCC(=O)O,c1ccccc1,0.0
CCCCC(=O)O,Cc1ccccc1,0.0
CCCCC(=O)O,C=CC1=CC=CC=C1,0.0
CCCCC(=O)O,Nc1ccccc1,0.0
CCCCC(=O)O,c1ccc2ccccc2c1,0.0
CCCCC(=O)O,Oc1ccc2ccccc2c1,0.0
CCCCC(=O)O,Nc1ccc2cccc(c2)c1,0.0
CCCCC(=O)O,n1ccccc1,0.0
CCCCC(=O)O,o1cccc1,0.0
CCCCC(=O)O,s1cccc1,0.0
CCCCC(=O)O,n1cccc1,0.0
C(CC(=O)O)CN,C,0.4855270981788635
C(CC(=O)O)CN,CC,0.43847861886024475
C(CC(=O)O)CN,C=C,0.0
C(CC(=O)O)CN,C#C,0.0
C(CC(=O)O)CN,CO,0.6151984930038452
C(CC(=O)O)CN,CCO,0.5435395836830139
C(CC(=O)O)CN,c1ccccc1O,0.0
C(CC(=O)O)CN,COC,0.0
C(CC(=O)O)CN,C=O,0.5919885635375977
C(CC(=O)O)CN,CC=O,0.5280663371086121
C(CC(=O)O)CN,CC(=O)C,0.0
C(CC(=O)O)CN,C(=O)O,0.6236318945884705
C(CC(=O)O)CN,CC(=O)O,0.5677793622016907
C(CC(=O)O)CN,COC(=O)C,0.0
C(CC(=O)O)CN,CN,0.7144034504890442
C(CC(=O)O)CN,CCN,0.5724494457244873
C(CC(=O)O)CN,CC(=O)N,0.0
C(CC(=O)O)CN,CC#N,0.0
C(CC(=O)O)CN,CCl,0.0
C(CC(=O)O)CN,CCBr,0.0
C(CC(=O)O)CN,c1ccccc1S(=O)(=O)O,0.0
C(CC(=O)O)CN,c1ccccc1[N+](=O)[O-],0.0
C(CC(=O)O)CN,c1ccccc1,0.0
C(CC(=O)O)CN,Cc1ccccc1,0.0
C(CC(=O)O)CN,C=CC1=CC=CC=C1,0.0
C(CC(=O)O)CN,Nc1ccccc1,0.0
C(CC(=O)O)CN,c1ccc2ccccc2c1,0.0
C(CC(=O)O)CN,Oc1ccc2ccccc2c1,0.0
C(CC(=O)O)CN,Nc1ccc2cccc(c2)c1,0.0
C(CC(=O)O)CN,n1ccccc1,0.0
C(CC(=O)O)CN,o1cccc1,0.0
C(CC(=O)O)CN,s1cccc1,0.0
C(CC(=O)O)CN,n1cccc1,0.0
CN(C)CC(=O)O,C,0.9574132561683655
CN(C)CC(=O)O,CC,0.9148265719413757
CN(C)CC(=O)O,C=C,0.0
CN(C)CC(=O)O,C#C,0.0
CN(C)CC(=O)O,CO,0.77736896276474
CN(C)CC(=O)O,CCO,0.8385221362113953
CN(C)CC(=O)O,c1ccccc1O,0.0
CN(C)CC(=O)O,COC,0.0
CN(C)CC(=O)O,C=O,0.8142809271812439
CN(C)CC(=O)O,CC=O,0.8631300926208496
CN(C)CC(=O)O,CC(=O)C,0.0
CN(C)CC(=O)O,C(=O)O,0.7714917063713074
CN(C)CC(=O)O,CC(=O)O,0.8188258409500122
CN(C)CC(=O)O,COC(=O)C,0.0
CN(C)CC(=O)O,CN,0.9934713840484619
CN(C)CC(=O)O,CCN,0.9432177543640137
CN(C)CC(=O)O,CC(=O)N,0.0
CN(C)CC(=O)O,CC#N,0.0
CN(C)CC(=O)O,CCl,0.0
CN(C)CC(=O)O,CCBr,0.0
CN(C)CC(=O)O,c1ccccc1S(=O)(=O)O,0.0
CN(C)CC(=O)O,c1ccccc1[N+](=O)[O-],0.0
CN(C)CC(=O)O,c1ccccc1,0.0
CN(C)CC(=O)O,Cc1ccccc1,0.0
CN(C)CC(=O)O,C=CC1=CC=CC=C1,0.0
CN(C)CC(=O)O,Nc1ccccc1,0.0
CN(C)CC(=O)O,c1ccc2ccccc2c1,0.0
CN(C)CC(=O)O,Oc1ccc2ccccc2c1,0.0
CN(C)CC(=O)O,Nc1ccc2cccc(c2)c1,0.0
CN(C)CC(=O)O,n1ccccc1,0.0
CN(C)CC(=O)O,o1cccc1,0.0
CN(C)CC(=O)O,s1cccc1,0.0
CN(C)CC(=O)O,n1cccc1,0.0
C(C(=O)O)C(=O)O,C,0.6270902156829834
C(C(=O)O)C(=O)O,CC,0.6096977591514587
C(C(=O)O)C(=O)O,C=C,0.0
C(C(=O)O)C(=O)O,C#C,0.0
C(C(=O)O)C(=O)O,CO,0.6683142185211182
C(C(=O)O)C(=O)O,CCO,0.631382942199707
C(C(=O)O)C(=O)O,c1ccccc1O,0.0
C(C(=O)O)C(=O)O,COC,0.0
C(C(=O)O)C(=O)O,C=O,0.6689184904098511
C(C(=O)O)C(=O)O,CC=O,0.6317857503890991
C(C(=O)O)C(=O)O,CC(=O)C,0.0
C(C(=O)O)C(=O)O,C(=O)O,0.6708633899688721
C(C(=O)O)C(=O)O,CC(=O)O,0.64252769947052
C(C(=O)O)C(=O)O,COC(=O)C,0.0
C(C(=O)O)C(=O)O,CN,0.0
C(C(=O)O)C(=O)O,CCN,0.0
C(C(=O)O)C(=O)O,CC(=O)N,0.0
C(C(=O)O)C(=O)O,CC#N,0.0
C(C(=O)O)C(=O)O,CCl,0.0
C(C(=O)O)C(=O)O,CCBr,0.0
